    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/07/17,16:57:41
MCA Data File,detectorA_Ra226 re.asc
Comment,
Date,2020/07/17,15:43:17
Live Time,4157,Real Time,4463,Preset time,99999999,Dead Time,0,(%),Mode,PHA
Spectrum Data,Start ch,0,End ch,4095
  chn  ,  data
 873,    7755
 874,    7905
 875,    7712
 876,    7706
 877,    7816
 878,    7803
 879,    7885
 880,    7625
 881,    7682
 882,    7720
 883,    7746
 884,    7921
 885,    7910
 886,    7683
 887,    7841
 888,    7918
 889,    7980
 890,    7837
 891,    8057
 892,    8088
 893,    8152
 894,    8335
 895,    8470
 896,    8730
 897,    8737
 898,    8805
 899,    8572
 900,    8255
 901,    8144
 902,    7909
 903,    7648
 904,    7707
 905,    7737
 906,    7692
 907,    7574
 908,    7634
 909,    7580
 910,    7681
 911,    7600
 912,    7638
 913,    7563
 914,    7574
 915,    7640
 916,    7585
 917,    7582
 918,    7679
 919,    7710
 920,    7605
 921,    7589
 922,    7490
 923,    7431
 924,    7565
 925,    7572
 926,    7548
 927,    7547
 928,    7587
 929,    7290
 930,    7383
 931,    7523
 932,    7576
 933,    7441
 934,    7421
 935,    7304
 936,    7550
 937,    7534
 938,    7418
 939,    7486
 940,    7317
 941,    7466
 942,    7500
 943,    7441
 944,    7426
 945,    7474
 946,    7300
 947,    7551
 948,    7375
 949,    7303
 950,    7369
 951,    7345
 952,    7445
 953,    7456
 954,    7399
 955,    7397
 956,    7352
 957,    7391
 958,    7228
 959,    7173
 960,    7383
 961,    7345
 962,    7323
 963,    7410
 964,    7195
 965,    7085
 966,    7318
 967,    7218
 968,    7121
 969,    7172
 970,    7206
 971,    7088
 972,    7257
 973,    7100
 974,    7063
 975,    7195
 976,    7003
 977,    7234
 978,    6967
 979,    7179
 980,    7030
 981,    7030
 982,    7117
 983,    7190
 984,    7159
 985,    7037
 986,    7121
 987,    7153
 988,    7027
 989,    7004
 990,    7060
 991,    6961
 992,    7101
 993,    7051
 994,    6995
 995,    7301
 996,    6986
 997,    6942
 998,    6951
 999,    6916
1000,    7068
1001,    7063
1002,    6965
1003,    7117
1004,    6954
1005,    7011
1006,    6981
1007,    6919
1008,    6969
1009,    6799
1010,    6926
1011,    6972
1012,    6811
1013,    6975
1014,    6927
1015,    6956
1016,    6903
1017,    6883
1018,    6940
1019,    7038
1020,    6937
1021,    6836
1022,    6807
1023,    6897
1024,    6729
1025,    6972
1026,    6765
1027,    6894
1028,    6909
1029,    6945
1030,    6904
1031,    6763
1032,    6848
1033,    6869
1034,    6749
1035,    6888
1036,    6913
1037,    6881
1038,    6884
1039,    6866
1040,    6855
1041,    6775
1042,    6865
1043,    6930
1044,    6925
1045,    6705
1046,    6794
1047,    6927
1048,    6858
1049,    6766
1050,    6724
1051,    6730
1052,    6665
1053,    6746
1054,    6782
1055,    6896
1056,    6754
1057,    6777
1058,    6792
1059,    6737
1060,    6815
1061,    6747
1062,    6845
1063,    6708
1064,    6690
1065,    6795
1066,    6790
1067,    6633
1068,    6772
1069,    6722
1070,    6674
1071,    6681
1072,    6701
1073,    6700
1074,    6702
1075,    6631
1076,    6667
1077,    6716
1078,    6668
1079,    6584
1080,    6744
1081,    6782
1082,    6663
1083,    6602
1084,    6646
1085,    6718
1086,    6685
1087,    6664
1088,    6651
1089,    6772
1090,    6707
1091,    6678
1092,    6615
1093,    6443
1094,    6628
1095,    6609
1096,    6624
1097,    6605
1098,    6613
1099,    6673
1100,    6825
1101,    6377
1102,    6725
1103,    6529
1104,    6626
1105,    6599
1106,    6564
1107,    6550
1108,    6612
1109,    6439
1110,    6583
1111,    6573
1112,    6574
1113,    6709
1114,    6600
1115,    6439
1116,    6552
1117,    6503
1118,    6518
1119,    6507
1120,    6488
1121,    6536
1122,    6477
1123,    6498
1124,    6433
1125,    6345
1126,    6561
1127,    6477
1128,    6569
1129,    6339
1130,    6436
1131,    6394
1132,    6495
1133,    6380
1134,    6429
1135,    6454
1136,    6361
1137,    6349
1138,    6432
1139,    6450
1140,    6383
1141,    6340
1142,    6373
1143,    6366
1144,    6427
1145,    6349
1146,    6413
1147,    6401
1148,    6311
1149,    6390
1150,    6359
1151,    6376
1152,    6420
1153,    6296
1154,    6377
1155,    6326
1156,    6372
1157,    6402
1158,    6172
1159,    6259
1160,    6438
1161,    6197
1162,    6253
1163,    6334
1164,    6461
1165,    6550
1166,    6766
1167,    7111
1168,    7442
1169,    7950
1170,    8316
1171,    8415
1172,    8697
1173,    8322
1174,    8256
1175,    7665
1176,    7067
1177,    6720
1178,    6496
1179,    6254
1180,    6360
1181,    6286
1182,    6124
1183,    6208
1184,    6255
1185,    6010
1186,    6200
1187,    6102
1188,    6187
1189,    6162
1190,    6184
1191,    6071
1192,    6077
1193,    6221
1194,    6026
1195,    6223
1196,    6029
1197,    6005
1198,    6114
1199,    6053
1200,    6130
1201,    6020
1202,    5983
1203,    6104
1204,    6026
1205,    6108
1206,    6056
1207,    6055
1208,    6063
1209,    6020
1210,    6119
1211,    6154
1212,    5903
1213,    5999
1214,    6021
1215,    5954
1216,    6077
1217,    6107
1218,    5996
1219,    6042
1220,    6113
1221,    6020
1222,    6013
1223,    5981
1224,    6025
1225,    5981
1226,    5873
1227,    5998
1228,    5925
1229,    5854
1230,    5882
1231,    5933
1232,    5921
1233,    5785
1234,    5880
1235,    5893
1236,    5879
1237,    5840
1238,    6006
1239,    5768
1240,    5926
1241,    5854
1242,    5811
1243,    5916
1244,    5886
1245,    5727
1246,    5764
1247,    5739
1248,    5754
1249,    5823
1250,    5770
1251,    5967
1252,    5986
1253,    5919
1254,    6078
1255,    5978
1256,    5975
1257,    5952
1258,    5857
1259,    5746
1260,    5736
1261,    5822
1262,    5949
1263,    5748
1264,    5814
1265,    5840
1266,    5800
1267,    5771
1268,    5834
1269,    5727
1270,    5911
1271,    5778
1272,    5882
1273,    5616
1274,    5635
1275,    5840
1276,    5592
1277,    5755
1278,    5631
1279,    5717
1280,    5592
1281,    5728
1282,    5725
1283,    5698
1284,    5552
1285,    5623
1286,    5568
1287,    5689
1288,    5616
1289,    5618
1290,    5604
1291,    5616
1292,    5532
1293,    5695
1294,    5624
1295,    5601
1296,    5657
1297,    5650
1298,    5696
1299,    5658
1300,    5544
1301,    5635
1302,    5550
1303,    5682
1304,    5514
1305,    5601
1306,    5502
1307,    5566
1308,    5434
1309,    5613
1310,    5699
1311,    5452
1312,    5581
1313,    5661
1314,    5488
1315,    5618
1316,    5489
1317,    5515
1318,    5507
1319,    5555
1320,    5479
1321,    5611
1322,    5627
1323,    5528
1324,    5511
1325,    5443
1326,    5574
1327,    5550
1328,    5530
1329,    5591
1330,    5530
1331,    5657
1332,    5477
1333,    5591
1334,    5579
1335,    5606
1336,    5615
1337,    5568
1338,    5374
1339,    5433
1340,    5386
1341,    5354
1342,    5427
1343,    5403
1344,    5382
1345,    5498
1346,    5540
1347,    5436
1348,    5343
1349,    5509
1350,    5430
1351,    5442
1352,    5458
1353,    5431
1354,    5517
1355,    5394
1356,    5349
1357,    5490
1358,    5380
1359,    5598
1360,    5347
1361,    5378
1362,    5546
1363,    5526
1364,    5420
1365,    5330
1366,    5366
1367,    5392
1368,    5235
1369,    5443
1370,    5347
1371,    5322
1372,    5372
1373,    5402
1374,    5312
1375,    5382
1376,    5355
1377,    5224
1378,    5249
1379,    5264
1380,    5310
1381,    5309
1382,    5312
1383,    5270
1384,    5304
1385,    5254
1386,    5214
1387,    5237
1388,    5318
1389,    5280
1390,    5359
1391,    5322
1392,    5290
1393,    5246
1394,    5196
1395,    5291
1396,    5261
1397,    5036
1398,    5034
1399,    5268
1400,    5298
1401,    5172
1402,    5337
1403,    5291
1404,    5279
1405,    5175
1406,    5180
1407,    5263
1408,    5349
1409,    5247
1410,    5210
1411,    5055
1412,    5119
1413,    5188
1414,    5333
1415,    5079
1416,    5182
1417,    5177
1418,    5198
1419,    5214
1420,    5217
1421,    5296
1422,    5139
1423,    5210
1424,    5292
1425,    5440
1426,    5647
1427,    6063
1428,    6716
1429,    7552
